detail_link,thumbnail,title,field,institution,satisfaction,language
https://www.kmooc.kr/view/course/detail/13296,https://lms.kmooc.kr/pluginfile.php/3181969/course/overviewfiles/%EC%98%81%EC%83%81%EC%B2%98%EB%A6%AC.JPG,영상처리,공학 (컴퓨터 · 통신),선문대학교,0.0,한국어(ko)
https://www.kmooc.kr/view/course/detail/13455,https://lms.kmooc.kr/pluginfile.php/3203719/course/overviewfiles/%EA%B7%B8%EB%A6%BC11.png,영상처리와 패턴인식,공학 (컴퓨터 · 통신),상명대학교,4.2,한국어(ko)
https://www.kmooc.kr/view/course/detail/13719,https://lms.kmooc.kr/pluginfile.php/3236029/course/overviewfiles/%5B%EC%8D%B8%EB%84%A4%EC%9D%BC%5D%EC%9C%A0%EC%BE%8C%ED%95%9C%20%EC%BD%94%EB%94%A9%282%29.jpg,유쾌한코딩,공학 (컴퓨터 · 통신),경일대학교,4.4,한국어(ko)
https://www.kmooc.kr/view/course/detail/13688,https://lms.kmooc.kr/pluginfile.php/3232741/course/overviewfiles/24_%EC%9D%98%EB%A3%8Cai.png,의료AI를 위한 머신러닝,공학 (컴퓨터 · 통신),부산대학교,0.0,한국어(ko)
https://www.kmooc.kr/view/course/detail/13294,https://lms.kmooc.kr/pluginfile.php/3180355/course/overviewfiles/%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5%20%EA%B0%9C%EB%A1%A0%20%EB%B0%8F%20%EC%9D%91%EC%9A%A9.JPG,인공지능 개론 및 응용,공학 (컴퓨터 · 통신),선문대학교,4.0,한국어(ko)
https://www.kmooc.kr/view/course/detail/13978,https://lms.kmooc.kr/pluginfile.php/3271258/course/overviewfiles/KakaoTalk_20230105_120236258.png,인공지능과 미래기술 (AI+Future Technology),공학 (컴퓨터 · 통신),호남대학교,0.0,한국어(ko)
https://www.kmooc.kr/view/course/detail/13981,https://lms.kmooc.kr/pluginfile.php/3271447/course/overviewfiles/sum_health.png,인공지능과 헬스케어(AI+Health Care),공학 (컴퓨터 · 통신),호남대학교,0.0,한국어(ko)
https://www.kmooc.kr/view/course/detail/13869,https://lms.kmooc.kr/pluginfile.php/3254851/course/overviewfiles/%EC%9D%B8%EB%AC%B8%ED%95%99%EC%9C%BC%EB%A1%9C%20%EB%A7%8C%EB%82%98%EB%8A%94%20%EB%94%94%EC%A7%80%ED%84%B8%20%ED%98%81%EB%AA%85%EA%B3%BC%20%EB%AF%B8%EB%9E%98%EA%B8%B0%EC%88%A0.png,인문학으로 만나는 디지털 혁명과 미래기술,공학 (컴퓨터 · 통신),제주대학교,0.0,한국어(ko)
https://www.kmooc.kr/view/course/detail/13689,https://lms.kmooc.kr/pluginfile.php/3232761/course/overviewfiles/24_%EC%9E%90%EC%9C%A8%EC%A3%BC%ED%96%89.png,자율주행을 위한 인공지능,공학 (컴퓨터 · 통신),부산대학교,0.0,한국어(ko)
https://www.kmooc.kr/view/course/detail/13867,https://lms.kmooc.kr/pluginfile.php/3254688/course/overviewfiles/%EA%B0%95%EC%A2%8C%EC%86%8C%EA%B0%9C%EC%9D%B4%EB%AF%B8%EC%A7%80_min.png,재미있는 4차 산업혁명 이야기,공학 (컴퓨터 · 통신),제주대학교,4.4,한국어(ko)
https://www.kmooc.kr/view/course/detail/14107,https://lms.kmooc.kr/pluginfile.php/3288421/course/overviewfiles/2024-2_%28%EC%8D%B8%EB%84%A4%EC%9D%BC%29_%EC%A0%95%EB%B3%B4%EB%B3%B4%ED%98%B8%EC%99%80%20%EB%B3%B4%EC%95%88%EC%9D%98%20%EA%B8%B0%EC%B4%88.png,정보보호와 보안의 기초,공학 (컴퓨터 · 통신),세종대학교,3.8,한국어(ko)
https://www.kmooc.kr/view/course/detail/13300,https://lms.kmooc.kr/pluginfile.php/3182828/course/overviewfiles/%EC%A7%80%EB%8A%A5%EC%A0%95%EB%B3%B4%EC%82%AC%ED%9A%8C%EC%99%80%20%20AI%EC%9C%A4%EB%A6%AC.JPG,지능 정보 사회와 AI 윤리,공학 (컴퓨터 · 통신),선문대학교,4.4,한국어(ko)
